Datum;Zeit;VACW PM10F GM24H [µg/m³];VACW NO AM1H [µg/m³];VACW NO2 AM1H [µg/m³];VACW T AM1H [°C];VACW F AM1H [%];VACW WG SM1H [m/s];VACW WR VM1H [°]
29.08.2017;01:00;;<7;34;21;75,6;0,6;214
29.08.2017;02:00;;<7;13;20,3;77,2;0,7;208
29.08.2017;03:00;;<7;22;19,7;78,9;0,8;209
29.08.2017;04:00;;8;19;19,7;78,1;0,5;202
29.08.2017;05:00;;115;86;20,4;75,2;0,6;15
29.08.2017;06:00;;91;97;21;70,9;0,4;51
29.08.2017;07:00;;236;138;21,4;70,4;1;15
29.08.2017;08:00;;124;114;23,1;63;0,8;130
29.08.2017;09:00;;55;82;24,7;57,7;1,1;158
29.08.2017;10:00;;50;80;27;51,9;1,2;161
29.08.2017;11:00;;;;28,5;47,6;1,2;165
29.08.2017;12:00;;56;75;29,4;44,5;1,2;161
29.08.2017;13:00;;40;74;30;41,9;1,1;162
29.08.2017;14:00;;41;77;30,8;39,2;1,2;170
29.08.2017;15:00;32;50;91;31;38,4;1,1;155
29.08.2017;16:00;32;43;93;31,1;38;1;181
29.08.2017;17:00;32;62;114;31,3;36,5;1;160
29.08.2017;18:00;31;54;102;31;35,5;0,9;159
29.08.2017;19:00;31;38;98;30,3;38,6;0,6;173
29.08.2017;20:00;31;22;82;28,1;49;0,6;192
29.08.2017;21:00;31;12;65;26,4;52,7;0,3;208
29.08.2017;22:00;30;9;54;25,7;51,6;0,5;198
29.08.2017;23:00;29;<7;37;24,9;52,6;0,4;206
29.08.2017;24:00:00;28;<7;28;24;55,9;0,4;214
30.08.2017;01:00;27;<7;42;23,2;58,1;0,5;307
30.08.2017;02:00;27;16;61;22,6;60,1;0,6;14
30.08.2017;03:00;26;14;57;22,3;61,3;0,5;13
30.08.2017;04:00;26;28;78;22,4;62,1;0,9;12
30.08.2017;05:00;25;103;127;23;59,2;1;11
30.08.2017;06:00;25;37;91;24,7;52,5;0,6;202
30.08.2017;07:00;25;67;116;25,8;50,9;0,8;151
30.08.2017;08:00;25;97;116;24,4;57,7;1,3;82
30.08.2017;09:00;25;104;102;22,5;68,9;0,9;144
30.08.2017;10:00;25;43;75;22,7;68,7;1;214
30.08.2017;11:00;26;79;92;23,3;70,5;1,6;22
30.08.2017;12:00;27;;;25,2;63,8;1,2;48
30.08.2017;13:00;27;52;71;26,5;62;1,4;160
30.08.2017;14:00;28;49;72;26,4;63,7;1,4;150
30.08.2017;15:00;28;48;68;26,5;64,9;1,5;158
30.08.2017;16:00;29;48;74;26;66,6;1,4;159
30.08.2017;17:00;30;48;76;26,1;65,9;1,3;161
30.08.2017;18:00;30;36;68;26;65,2;1,2;169
30.08.2017;19:00;31;26;53;25;67,5;1,6;163
30.08.2017;20:00;31;19;42;23,9;70,3;1,7;134
30.08.2017;21:00;31;18;33;20,9;79,5;1,3;57
30.08.2017;22:00;31;17;35;20,4;81,5;1;160
30.08.2017;23:00;31;10;22;19,8;84,8;1;163
30.08.2017;24:00:00;32;<7;21;19,4;85,8;1,2;92
31.08.2017;01:00;33;<7;20;18,1;89,1;1,7;36
31.08.2017;02:00;32;<7;13;16,2;91,4;2;32
31.08.2017;03:00;32;7;14;15,3;91;1,8;34
31.08.2017;04:00;32;<7;11;14,7;91,5;1,6;37
31.08.2017;05:00;31;13;23;14,3;91,2;2;30
31.08.2017;06:00;30;60;53;14,3;90,9;1,1;43
31.08.2017;07:00;30;142;95;14,6;89,5;1;46
31.08.2017;08:00;29;143;107;14,8;89;1,3;40
31.08.2017;09:00;28;88;71;14,5;89,6;1,3;39
31.08.2017;10:00;27;63;54;14,8;86,9;1,3;155
31.08.2017;11:00;26;92;65;14,9;85,3;1,1;138
31.08.2017;12:00;25;91;67;15,2;84;1,2;105
31.08.2017;13:00;24;;;15,6;79,5;1,8;38
31.08.2017;14:00;23;90;71;15,8;76,4;1,3;58
31.08.2017;15:00;22;86;82;18,1;62,8;1,7;34
31.08.2017;16:00;21;103;81;18,1;62,1;2;25
31.08.2017;17:00;20;95;89;18,7;57,3;1,4;30
31.08.2017;18:00;20;132;101;18,9;54,8;1,3;33
31.08.2017;19:00;19;72;80;18,3;57,2;1,3;20
31.08.2017;20:00;18;45;61;17,9;65,2;0,5;183
31.08.2017;21:00;18;21;40;16,3;73;0,7;190
31.08.2017;22:00;17;14;32;15,4;75;0,6;193
31.08.2017;23:00;17;10;29;15,5;72,2;0,5;191
